======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=  112 a= 42(MANAGER:8) r= -4.2053 cum=   -124.89 v= +6.3877 top5=[a43=0.037, a39=0.036, a11=0.035, a41=0.030, a6=0.029]
  s=  113 a= 30(BUILD:BigIronmine) r= -1.0383 cum=   -125.93 v= +6.3377 top5=[a43=0.037, a39=0.036, a11=0.035, a41=0.030, a6=0.029]
  s=  114 a=  3(BUILD:Farm) r= -1.0369 cum=   -126.97 v= +6.2778 top5=[a43=0.038, a39=0.036, a11=0.035, a41=0.030, a6=0.029]
  s=  115 a= 29(BUILD:Puerperal) r= -4.2282 cum=   -131.20 v= +6.2108 top5=[a43=0.038, a39=0.036, a11=0.035, a41=0.029, a6=0.029]
  s=  116 a= 10(BUILD:Refinery) r= -1.0510 cum=   -132.25 v= +5.3674 top5=[a11=0.033, a39=0.030, a6=0.029, a43=0.029, a24=0.028]
  s=  117 a= 27(BUILD:WaterMill) r= -1.0581 cum=   -133.31 v= +4.9075 top5=[a11=0.032, a43=0.030, a39=0.030, a24=0.028, a9=0.027]
  s=  118 a= 37(MANAGER:3) r= -4.2503 cum=   -137.56 v= +4.9378 top5=[a11=0.032, a43=0.031, a39=0.030, a24=0.028, a9=0.027]
  s=  119 a= 12(BUILD:PowerStation) r= -0.0087 cum=   -137.57 v= +4.1889 top5=[a11=0.034, a43=0.028, a39=0.028, a9=0.028, a41=0.028]
  s=  120 a= 12(BUILD:PowerStation) r= -0.0086 cum=   -137.57 v= +4.3841 top5=[a11=0.033, a43=0.029, a39=0.029, a41=0.028, a9=0.027]
  s=  121 a= 23(BUILD:Torchlight) r= -1.0668 cum=   -138.64 v= +4.5603 top5=[a11=0.032, a43=0.031, a39=0.030, a41=0.028, a34=0.027]
  s=  122 a= 39(MANAGER:5) r= -4.2812 cum=   -142.92 v= +4.5600 top5=[a11=0.032, a43=0.031, a39=0.030, a41=0.028, a34=0.027]
  s=  123 a= 30(BUILD:BigIronmine) r= -1.0708 cum=   -143.99 v= +4.5629 top5=[a11=0.032, a43=0.031, a39=0.030, a41=0.028, a34=0.027]
  s=  124 a= 38(MANAGER:4) r= -1.0777 cum=   -145.07 v= +4.5582 top5=[a11=0.031, a43=0.031, a39=0.030, a41=0.028, a34=0.027]
