======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   80 a= 40(MANAGER:6) r= -4.0934 cum=    -61.28 v=+13.8056 top5=[a11=0.039, a43=0.038, a39=0.035, a24=0.034, a27=0.032]
  s=   81 a= 19(BUILD:Mushroom) r= +0.2073 cum=    -61.07 v=+13.2464 top5=[a11=0.038, a43=0.037, a39=0.036, a24=0.033, a27=0.031] [BUILD: Mushroom]
  s=   82 a= 39(MANAGER:5) r= -0.6103 cum=    -61.68 v=+12.7339 top5=[a11=0.037, a43=0.036, a39=0.036, a24=0.032, a34=0.030]
  s=   83 a= 36(MANAGER:2) r= -4.0101 cum=    -65.69 v=+12.2807 top5=[a11=0.036, a39=0.036, a43=0.035, a24=0.031, a34=0.030]
  s=   84 a= 44(MANAGER:10) r= +0.0011 cum=    -65.69 v=+11.8845 top5=[a39=0.036, a11=0.035, a43=0.035, a24=0.030, a34=0.030]
  s=   85 a= 14(BUILD:Road) r= -0.6113 cum=    -66.31 v=+11.5450 top5=[a39=0.036, a43=0.035, a11=0.034, a34=0.030, a24=0.029] [BUILD: Road]
  s=   86 a= 30(BUILD:BigIronmine) r= -4.1420 cum=    -70.45 v=+11.2457 top5=[a39=0.037, a43=0.035, a11=0.034, a34=0.029, a24=0.029] [BUILD FAILED: BigIronmine]
  s=   87 a= 19(BUILD:Mushroom) r= -0.5910 cum=    -71.04 v=+10.9763 top5=[a39=0.037, a43=0.035, a11=0.033, a34=0.029, a6=0.028] [BUILD: Mushroom]
  s=   88 a= 28(BUILD:BigRefinary) r= -0.6284 cum=    -71.67 v=+10.8778 top5=[a39=0.038, a43=0.034, a11=0.034, a34=0.029, a6=0.029] [BUILD: BigRefinary]
  s=   89 a=  5(BUILD:House) r= -4.1659 cum=    -75.83 v= -2.2464 top5=[a32=0.041, a43=0.038, a24=0.034, a39=0.032, a9=0.030] [BUILD FAILED: House]
  s=   90 a=  6(BUILD:SmallHouse) r= -0.6281 cum=    -76.46 v= +2.6874 top5=[a43=0.038, a32=0.035, a39=0.034, a24=0.033, a9=0.028] [BUILD: SmallHouse]
  s=   91 a=  4(BUILD:Garden) r= -0.4837 cum=    -76.94 v= +4.7515 top5=[a43=0.038, a39=0.036, a24=0.032, a32=0.032, a11=0.028] [BUILD: Garden]
  s=   92 a= 20(BUILD:BigHouse) r= -4.1885 cum=    -81.13 v= +5.7564 top5=[a43=0.039, a39=0.037, a24=0.032, a32=0.031, a11=0.028] [BUILD FAILED: BigHouse]
  s=   93 a=  7(BUILD:Sawmill) r= -0.6326 cum=    -81.77 v= +6.3703 top5=[a43=0.039, a39=0.038, a24=0.031, a32=0.030, a11=0.028] [BUILD: Sawmill]
  s=   94 a= 21(BUILD:BigFarm) r= -0.6378 cum=    -82.40 v= +6.7624 top5=[a43=0.039, a39=0.038, a24=0.031, a32=0.029, a11=0.028] [BUILD: BigFarm]
  s=   95 a= 39(MANAGER:5) r= -4.2106 cum=    -86.61 v= +6.8899 top5=[a39=0.039, a43=0.038, a24=0.030, a32=0.029, a11=0.028]
  s=   96 a=  2(BUILD:WaterChannel) r= -0.6414 cum=    -87.26 v= +6.9331 top5=[a39=0.039, a43=0.038, a24=0.030, a32=0.028, a11=0.028] [BUILD: WaterChannel]
  s=   97 a= 22(BUILD:Apiary) r= -0.6418 cum=    -87.90 v= +6.9293 top5=[a39=0.039, a43=0.038, a24=0.029, a11=0.028, a32=0.028] [BUILD: Apiary]
  s=   98 a= 32(BUILD:SmallAtomStation) r= -4.2317 cum=    -92.13 v= +6.9028 top5=[a39=0.039, a43=0.037, a24=0.029, a11=0.028, a32=0.028] [BUILD FAILED: SmallAtomStation]
  s=   99 a= 40(MANAGER:6) r= -0.6556 cum=    -92.78 v= +6.8895 top5=[a39=0.041, a43=0.036, a11=0.029, a24=0.029, a32=0.028]
  s=  100 a=  9(BUILD:Ironmine) r= -0.6579 cum=    -93.44 v= +7.0024 top5=[a21=0.040, a43=0.036, a39=0.036, a14=0.034, a25=0.034] [BUILD: Ironmine]
    state: year=0 month=6 season=1 money=257 credit=54900 people=28 busy=0 free=28 home_places=130 need_workers=14 tax_due=0 main_tax_due=0 tax_amount=8898 main_tax_amount=0 days_alive=119 stage=0 res0=0 res1=200 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Farm=1 Garden=1 Road=1 House=1 SmallHouse=1 Apiary=1 Hothouse=3 AirStation=1 | nw=1525620.7567
  s=  101 a=  6(BUILD:SmallHouse) r= -4.2521 cum=    -97.69 v= +6.4017 top5=[a39=0.038, a43=0.037, a21=0.032, a25=0.032, a24=0.030] [BUILD FAILED: SmallHouse]
  s=  102 a= 31(BUILD:AirStation) r= -0.6616 cum=    -98.36 v= +5.9313 top5=[a39=0.038, a43=0.037, a25=0.031, a9=0.030, a24=0.029] [BUILD: AirStation]
  s=  103 a= 35(MANAGER:1) r= -0.1803 cum=    -98.54 v= +5.5931 top5=[a39=0.039, a43=0.036, a25=0.031, a9=0.029, a11=0.029]
  s=  104 a= 34(MANAGER:0) r= -4.2698 cum=   -102.81 v= +6.1934 top5=[a39=0.035, a43=0.031, a14=0.029, a8=0.029, a24=0.028]
