======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   74 a= 14(BUILD:Road) r= -0.2800 cum=    -91.37 v= +5.0441 top5=[a43=0.028, a15=0.026, a8=0.026, a18=0.025, a17=0.024] [BUILD: Road]
  s=   75 a= 10(BUILD:Refinery) r= -4.5448 cum=    -95.91 v= +5.0875 top5=[a43=0.028, a15=0.026, a8=0.026, a18=0.025, a39=0.024] [BUILD FAILED: Refinery]
  s=   76 a= 22(BUILD:Apiary) r= -0.2792 cum=    -96.19 v= +5.1317 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.025, a18=0.025] [BUILD: Apiary]
  s=   77 a= 14(BUILD:Road) r= -0.2806 cum=    -96.47 v= +5.1858 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.025, a18=0.025] [BUILD: Road]
  s=   78 a= 18(BUILD:CowFarm) r= -4.5544 cum=   -101.03 v= +5.2581 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.025, a18=0.025] [BUILD FAILED: CowFarm]
  s=   79 a= 16(BUILD:CoalCut) r= -0.2798 cum=   -101.31 v= +5.3292 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.025, a18=0.025] [BUILD: CoalCut]
  s=   80 a=  3(BUILD:Farm) r= -0.2856 cum=   -101.59 v= +5.3974 top5=[a43=0.028, a15=0.026, a8=0.026, a39=0.025, a18=0.025] [BUILD: Farm]
  s=   81 a= 24(BUILD:Hothouse) r= -4.5634 cum=   -106.15 v= +5.4476 top5=[a43=0.028, a8=0.026, a15=0.026, a39=0.025, a18=0.025] [BUILD FAILED: Hothouse]
  s=   82 a=  4(BUILD:Garden) r= -0.2805 cum=   -106.44 v= +5.4984 top5=[a43=0.028, a8=0.026, a15=0.026, a39=0.025, a17=0.025] [BUILD: Garden]
  s=   83 a= 42(MANAGER:8) r= -0.1683 cum=   -106.60 v= +5.5506 top5=[a43=0.029, a8=0.026, a15=0.026, a39=0.025, a17=0.025]
  s=   84 a=  5(BUILD:House) r= -4.5704 cum=   -111.17 v= +8.4818 top5=[a43=0.035, a15=0.029, a25=0.028, a9=0.027, a11=0.027] [BUILD FAILED: House]
  s=   85 a= 42(MANAGER:8) r= -0.5087 cum=   -111.68 v= +8.3167 top5=[a43=0.035, a15=0.029, a25=0.028, a9=0.027, a11=0.027]
  s=   86 a= 13(BUILD:HydroStation) r= +4.5478 cum=   -107.13 v= +6.3390 top5=[a11=0.094, a43=0.080, a34=0.055, a24=0.049, a27=0.043] [BUILD: HydroStation]
  s=   87 a=  2(BUILD:WaterChannel) r= +4.2745 cum=   -102.86 v= +9.5190 top5=[a43=0.072, a11=0.059, a34=0.050, a27=0.041, a24=0.035] [BUILD: WaterChannel]
  s=   88 a=  6(BUILD:SmallHouse) r= -0.9160 cum=   -103.78 v=+10.3011 top5=[a43=0.064, a11=0.046, a34=0.046, a27=0.037, a15=0.031] [BUILD: SmallHouse]
