======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=  130 a= 32(BUILD:SmallAtomStation) r= -0.8637 cum=    -32.51 v= +2.2655 top5=[a43=0.035, a39=0.033, a32=0.027, a41=0.026, a44=0.026]
  s=  131 a= 15(BUILD:Fish) r= -3.7338 cum=    -36.24 v= +2.3448 top5=[a43=0.035, a39=0.033, a32=0.027, a41=0.027, a44=0.026]
  s=  132 a= 12(BUILD:PowerStation) r= +0.5498 cum=    -35.69 v= +2.4068 top5=[a43=0.035, a39=0.033, a41=0.027, a32=0.027, a44=0.026]
  s=  133 a= 28(BUILD:BigRefinary) r= -0.8820 cum=    -36.57 v= +2.8385 top5=[a43=0.036, a39=0.034, a41=0.027, a44=0.026, a9=0.026]
  s=  134 a= 30(BUILD:BigIronmine) r= -0.8852 cum=    -37.46 v= +1.0690 top5=[a11=0.040, a39=0.037, a12=0.037, a43=0.037, a14=0.033]
  s=  135 a= 39(MANAGER:5) r= +5.7041 cum=    -31.75 v= +1.8354 top5=[a39=0.038, a11=0.037, a43=0.036, a12=0.034, a34=0.031]
  s=  136 a=  2(BUILD:WaterChannel) r= -0.8575 cum=    -32.61 v= +3.3408 top5=[a39=0.039, a43=0.037, a11=0.035, a12=0.032, a34=0.030]
  s=  137 a= 28(BUILD:BigRefinary) r= -0.8653 cum=    -33.48 v= +3.7644 top5=[a39=0.040, a43=0.038, a11=0.033, a12=0.030, a34=0.030]
  s=  138 a=  7(BUILD:Sawmill) r= -0.8683 cum=    -34.34 v= +3.9214 top5=[a39=0.040, a43=0.038, a11=0.032, a34=0.029, a12=0.029]
  s=  139 a= 20(BUILD:BigHouse) r= -0.8714 cum=    -35.22 v= +3.8679 top5=[a39=0.041, a43=0.037, a11=0.032, a12=0.029, a34=0.029]
  s=  140 a=  6(BUILD:SmallHouse) r= -0.8772 cum=    -36.09 v= +3.8421 top5=[a39=0.041, a43=0.037, a11=0.032, a34=0.029, a12=0.028]
  s=  141 a=  5(BUILD:House) r= -3.6725 cum=    -39.77 v= +3.7961 top5=[a39=0.041, a43=0.037, a11=0.031, a34=0.028, a24=0.028]
  s=  142 a=  8(BUILD:Coalmine) r= -0.8726 cum=    -40.64 v= +3.7371 top5=[a39=0.041, a43=0.037, a11=0.031, a34=0.028, a24=0.028]
  s=  143 a= 34(MANAGER:0) r= -0.8702 cum=    -41.51 v= +3.6819 top5=[a39=0.041, a43=0.036, a11=0.031, a34=0.028, a24=0.028]
  s=  144 a= 33(BUILD:AtomStation) r= -0.8814 cum=    -42.39 v= +3.6242 top5=[a39=0.041, a43=0.036, a11=0.031, a34=0.028, a25=0.028]
  s=  145 a= 39(MANAGER:5) r= -0.8844 cum=    -43.27 v= +3.4225 top5=[a39=0.033, a12=0.031, a43=0.030, a9=0.028, a11=0.028]
  s=  146 a= 27(BUILD:WaterMill) r= -0.8821 cum=    -44.16 v= +3.4652 top5=[a39=0.033, a12=0.030, a43=0.030, a9=0.028, a34=0.028]
  s=  147 a= 19(BUILD:Mushroom) r= -0.8806 cum=    -45.04 v= +3.4999 top5=[a39=0.033, a43=0.030, a12=0.030, a34=0.028, a11=0.028]
