======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
    state: year=0 month=6 season=1 money=0 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=5 tax_due=0 main_tax_due=0 tax_amount=6798 main_tax_amount=0 days_alive=113 stage=0 res0=0 res1=200 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Road=1 Apiary=1 AirStation=3 | nw=1530129.3589
  s=  101 a= 44 r= +0.5379 cum=    -32.05 v=+16.2235 top5=[a4=0.055, a43=0.043, a44=0.039, a1=0.038, a34=0.035]
  s=  102 a= 15 r= -0.4735 cum=    -32.53 v=+15.9526 top5=[a4=0.054, a43=0.043, a44=0.038, a1=0.038, a34=0.035]
  s=  103 a=  8 r= -0.4665 cum=    -32.99 v=+15.6929 top5=[a4=0.053, a43=0.043, a44=0.038, a1=0.038, a34=0.035]
  s=  104 a= 44 r= +0.5448 cum=    -32.45 v=+15.4471 top5=[a4=0.053, a43=0.043, a1=0.038, a44=0.038, a34=0.035]
  s=  105 a=  0 r= +0.2045 cum=    -32.24 v=+15.1797 top5=[a4=0.053, a43=0.043, a1=0.038, a44=0.038, a34=0.036]
  s=  106 a= 43 r= -0.4815 cum=    -32.72 v=+14.9174 top5=[a4=0.052, a43=0.042, a1=0.038, a44=0.037, a34=0.036]
  s=  107 a= 37 r= -6.8989 cum=    -39.62 v=+14.6948 top5=[a4=0.052, a43=0.042, a1=0.038, a44=0.037, a34=0.036]
  s=  108 a=  1 r= -0.0920 cum=    -39.72 v=+13.2744 top5=[a4=0.053, a43=0.043, a44=0.042, a34=0.038, a22=0.037]
  s=  109 a=  8 r= -3.6280 cum=    -43.34 v= +6.3571 top5=[a44=0.041, a4=0.041, a43=0.040, a22=0.039, a19=0.038]
  s=  110 a= 10 r= -0.4290 cum=    -43.77 v= +6.4103 top5=[a4=0.041, a44=0.041, a43=0.040, a22=0.039, a34=0.038]
  s=  111 a= 20 r= -0.4309 cum=    -44.20 v= +6.4399 top5=[a4=0.041, a44=0.041, a43=0.040, a22=0.038, a34=0.038]
  s=  112 a= 34 r= -0.4328 cum=    -44.64 v= +6.4628 top5=[a4=0.041, a44=0.040, a43=0.040, a22=0.038, a34=0.038]
  s=  113 a= 18 r= -0.4347 cum=    -45.07 v= +6.4922 top5=[a4=0.041, a44=0.040, a43=0.040, a22=0.038, a34=0.038]
  s=  114 a= 42 r= -0.2768 cum=    -45.35 v= +6.5066 top5=[a4=0.041, a43=0.040, a44=0.040, a22=0.038, a34=0.037]
  s=  115 a= 11 r= -0.9214 cum=    -46.27 v=-24.4741 top5=[a38=0.039, a39=0.037, a26=0.037, a21=0.035, a40=0.031]
  s=  116 a= 39 r= -0.9252 cum=    -47.19 v=-24.4954 top5=[a38=0.038, a39=0.037, a26=0.037, a21=0.034, a40=0.031]
  s=  117 a= 19 r= -0.9290 cum=    -48.12 v=-24.4910 top5=[a38=0.038, a39=0.037, a26=0.036, a21=0.033, a40=0.031]
  s=  118 a= 40 r= -0.9328 cum=    -49.06 v=-24.4639 top5=[a38=0.038, a39=0.037, a26=0.035, a21=0.033, a40=0.032]
  s=  119 a= 38 r= -1.5925 cum=    -50.65 v=-24.4195 top5=[a38=0.037, a39=0.036, a26=0.034, a21=0.032, a40=0.032]
  s=  120 a= 24 r= +6.5384 cum=    -44.11 v=-26.0722 top5=[a38=0.038, a39=0.037, a40=0.032, a21=0.032, a26=0.031]
  s=  121 a= 43 r= -0.8752 cum=    -44.98 v=-10.9881 top5=[a38=0.037, a26=0.034, a1=0.033, a39=0.033, a25=0.032]
  s=  122 a= 19 r= -0.8704 cum=    -45.86 v=-11.1067 top5=[a38=0.037, a26=0.034, a39=0.033, a1=0.033, a25=0.032]
  s=  123 a= 34 r= -6.1189 cum=    -51.97 v=-11.2349 top5=[a38=0.036, a26=0.033, a39=0.033, a1=0.032, a25=0.031]
  s=  124 a= 26 r= -0.8484 cum=    -52.82 v= -8.4165 top5=[a38=0.042, a1=0.037, a26=0.037, a39=0.034, a21=0.034]
  s=  125 a=  1 r= -3.2696 cum=    -56.09 v= -8.6359 top5=[a38=0.041, a1=0.037, a26=0.037, a39=0.034, a21=0.033]
  s=  126 a= 24 r= -0.8509 cum=    -56.94 v=-10.2683 top5=[a38=0.043, a1=0.038, a26=0.036, a39=0.036, a21=0.034]
  s=  127 a= 44 r= +0.0253 cum=    -56.92 v=-10.3787 top5=[a38=0.043, a1=0.038, a39=0.036, a26=0.036, a21=0.034]
  s=  128 a= 40 r= -0.8606 cum=    -57.78 v=-10.4876 top5=[a38=0.043, a1=0.037, a39=0.036, a26=0.035, a21=0.034]
  s=  129 a= 28 r= -3.8173 cum=    -61.60 v=-10.4320 top5=[a1=0.040, a26=0.039, a38=0.034, a34=0.032, a20=0.030]
  s=  130 a= 23 r= -0.8549 cum=    -62.45 v=-10.3256 top5=[a1=0.040, a26=0.038, a38=0.034, a34=0.032, a20=0.030]
  s=  131 a= 23 r= -0.8582 cum=    -63.31 v=-10.2548 top5=[a1=0.040, a26=0.038, a38=0.034, a34=0.032, a20=0.029]
  s=  132 a= 23 r= -0.8616 cum=    -64.17 v=-10.1919 top5=[a1=0.039, a26=0.037, a38=0.034, a34=0.032, a44=0.029]
  s=  133 a= 10 r= -0.8679 cum=    -65.04 v=-10.1463 top5=[a1=0.039, a26=0.037, a38=0.034, a34=0.032, a39=0.030]
  s=  134 a=  5 r= -0.8712 cum=    -65.91 v=-10.1324 top5=[a1=0.039, a26=0.036, a38=0.034, a34=0.032, a39=0.030]
  s=  135 a= 16 r= -0.8746 cum=    -66.78 v=-10.1387 top5=[a1=0.039, a26=0.036, a38=0.034, a34=0.032, a39=0.030]
  s=  136 a= 35 r= +0.2364 cum=    -66.55 v=-10.1581 top5=[a1=0.038, a26=0.036, a38=0.034, a34=0.032, a39=0.030]
  s=  137 a= 40 r= -0.8808 cum=    -67.43 v=-10.0370 top5=[a1=0.038, a26=0.035, a38=0.034, a34=0.032, a39=0.030]
  s=  138 a= 29 r= -0.8708 cum=    -68.30 v=-10.0735 top5=[a1=0.038, a26=0.035, a38=0.034, a34=0.032, a39=0.030]
  s=  139 a= 23 r= -3.9024 cum=    -72.20 v=-10.1127 top5=[a1=0.038, a26=0.035, a38=0.034, a34=0.032, a39=0.031]
  s=  140 a= 44 r= +0.0127 cum=    -72.19 v=-10.1619 top5=[a1=0.038, a26=0.035, a38=0.034, a34=0.032, a39=0.031]
  s=  141 a= 10 r= -0.8840 cum=    -73.07 v=-10.2057 top5=[a1=0.037, a38=0.035, a26=0.034, a34=0.032, a39=0.031]
  s=  142 a= 13 r= -0.8872 cum=    -73.96 v=-10.2548 top5=[a1=0.037, a38=0.035, a26=0.034, a34=0.032, a39=0.031]
  s=  143 a= 18 r= -0.8636 cum=    -74.82 v=-10.3052 top5=[a1=0.037, a38=0.035, a26=0.034, a34=0.032, a39=0.031]
  s=  144 a= 20 r= -0.9024 cum=    -75.73 v=-12.9507 top5=[a38=0.036, a34=0.035, a26=0.034, a39=0.033, a1=0.033]
  s=  145 a=  2 r= -0.9032 cum=    -76.63 v= -8.7702 top5=[a25=0.061, a40=0.041, a34=0.035, a39=0.033, a44=0.033]
  s=  146 a= 19 r= -0.9147 cum=    -77.54 v= -8.5551 top5=[a25=0.056, a40=0.038, a34=0.035, a39=0.033, a44=0.032]
  s=  147 a=  8 r= -0.9210 cum=    -78.46 v= -8.0646 top5=[a25=0.050, a34=0.035, a40=0.034, a39=0.034, a38=0.033]
  s=  148 a= 39 r= +1.5209 cum=    -76.94 v= -7.8255 top5=[a25=0.047, a34=0.034, a39=0.034, a38=0.034, a40=0.032]
  s=  149 a=  8 r= -3.9736 cum=    -80.92 v= -9.0646 top5=[a25=0.042, a38=0.035, a26=0.034, a39=0.034, a40=0.032]
  s=  150 a= 30 r= -0.9129 cum=    -81.83 v= -9.2960 top5=[a25=0.041, a38=0.036, a26=0.034, a39=0.034, a40=0.032]
    state: year=0 month=8 season=1 money=871 credit=54465 people=28 busy=0 free=28 home_places=50 need_workers=4 tax_due=0 main_tax_due=0 tax_amount=6798 main_tax_amount=0 days_alive=175 stage=0 res0=0 res1=200 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Road=1 Hothouse=1 AirStation=3 | nw=1483410.8661
  s=  151 a=  1 r= -3.6500 cum=    -85.48 v= -9.8058 top5=[a25=0.040, a38=0.036, a26=0.035, a39=0.034, a40=0.031]
  s=  152 a= 24 r= -0.9169 cum=    -86.40 v=-12.7557 top5=[a25=0.041, a38=0.039, a39=0.036, a26=0.035, a40=0.031]
  s=  153 a= 21 r= -0.9201 cum=    -87.32 v=-13.2520 top5=[a25=0.040, a38=0.039, a39=0.037, a26=0.035, a1=0.031]
  s=  154 a= 13 r= +6.0403 cum=    -81.28 v=-57.5522 top5=[a38=0.095, a34=0.075, a44=0.068, a24=0.035, a26=0.034]
  s=  155 a= 35 r= +0.7184 cum=    -80.56 v=-57.8285 top5=[a38=0.085, a34=0.069, a44=0.066, a12=0.034, a26=0.034]
  s=  156 a= 24 r= -0.4672 cum=    -81.03 v=-59.2069 top5=[a38=0.076, a34=0.062, a44=0.061, a12=0.036, a39=0.033]
  s=  157 a=  4 r= -0.4611 cum=    -81.49 v=-60.3027 top5=[a38=0.073, a34=0.060, a44=0.058, a12=0.036, a39=0.036]
  s=  158 a= 29 r= -0.4708 cum=    -81.96 v=-61.0382 top5=[a38=0.074, a34=0.058, a44=0.056, a39=0.038, a12=0.036]
  s=  159 a= 25 r= -3.4001 cum=    -85.36 v=-61.8554 top5=[a38=0.075, a34=0.058, a44=0.056, a39=0.039, a12=0.037]
  s=  160 a= 13 r= -0.4732 cum=    -85.83 v=-62.6391 top5=[a38=0.075, a34=0.057, a44=0.054, a39=0.040, a12=0.036]
  s=  161 a= 23 r= -0.4615 cum=    -86.29 v=-63.2352 top5=[a38=0.075, a34=0.056, a44=0.054, a39=0.041, a12=0.036]
  s=  162 a= 14 r= -0.4608 cum=    -86.75 v=-63.6646 top5=[a38=0.074, a34=0.056, a44=0.054, a39=0.042, a12=0.036]
  s=  163 a= 38 r= +1.8785 cum=    -84.88 v=-64.0267 top5=[a38=0.073, a34=0.055, a44=0.053, a39=0.042, a12=0.036]
  s=  164 a= 36 r= +0.4244 cum=    -84.45 v=-62.6208 top5=[a38=0.069, a34=0.051, a44=0.050, a39=0.049, a12=0.034]
  s=  165 a= 44 r= +0.4043 cum=    -84.05 v=-62.7911 top5=[a38=0.069, a44=0.050, a34=0.050, a39=0.049, a12=0.033]
