======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   84 a= 39(MANAGER:5) r= +1.9263 cum=    +18.31 v=+10.6660 top5=[a38=0.425, a39=0.409, a36=0.040, a12=0.027, a44=0.020]
  s=   85 a= 39(MANAGER:5) r= +1.9262 cum=    +20.24 v= +9.4524 top5=[a38=0.413, a39=0.355, a36=0.046, a12=0.034, a44=0.027]
  s=   86 a= 38(MANAGER:4) r= +1.9263 cum=    +22.17 v= +5.5522 top5=[a38=0.470, a39=0.284, a36=0.045, a12=0.043, a44=0.028]
  s=   87 a= 38(MANAGER:4) r= +3.0919 cum=    +25.26 v= +8.4100 top5=[a38=0.361, a39=0.314, a36=0.052, a12=0.039, a44=0.035]
  s=   88 a= 39(MANAGER:5) r= -0.9738 cum=    +24.28 v= +8.6516 top5=[a39=0.331, a38=0.329, a36=0.054, a12=0.038, a44=0.035]
  s=   89 a= 12(BUILD:PowerStation) r= +1.0236 cum=    +25.31 v= +7.8091 top5=[a38=0.323, a39=0.279, a36=0.053, a12=0.042, a44=0.039]
  s=   90 a= 39(MANAGER:5) r= +1.9223 cum=    +27.23 v= +6.5344 top5=[a38=0.339, a39=0.261, a36=0.045, a12=0.040, a44=0.040]
  s=   91 a=  0(DAY) r= +0.1806 cum=    +27.41 v= +3.8846 top5=[a38=0.377, a39=0.227, a12=0.047, a36=0.041, a44=0.041]
  s=   92 a= 38(MANAGER:4) r= +1.9335 cum=    +29.34 v= +3.8064 top5=[a38=0.342, a39=0.213, a12=0.049, a44=0.043, a36=0.042]
  s=   93 a= 38(MANAGER:4) r= +1.9345 cum=    +31.28 v= +7.0076 top5=[a38=0.296, a39=0.229, a36=0.043, a44=0.042, a12=0.041]
  s=   94 a= 39(MANAGER:5) r= +1.9355 cum=    +33.21 v= +7.6179 top5=[a38=0.275, a39=0.253, a36=0.046, a44=0.041, a12=0.040]
  s=   95 a= 36(MANAGER:2) r= +0.9668 cum=    +34.18 v= +7.1422 top5=[a38=0.272, a39=0.212, a44=0.042, a36=0.042, a12=0.042]
  s=   96 a= 41(MANAGER:7) r= -0.4049 cum=    +33.78 v= +5.2896 top5=[a38=0.262, a39=0.214, a36=0.046, a44=0.041, a12=0.039]
  s=   97 a= 24(BUILD:Hothouse) r= -0.3953 cum=    +33.38 v= +5.2453 top5=[a38=0.253, a39=0.208, a36=0.045, a44=0.041, a12=0.039]
  s=   98 a= 38(MANAGER:4) r= -1.0007 cum=    +32.38 v= +5.3249 top5=[a38=0.245, a39=0.202, a36=0.043, a44=0.041, a12=0.039]
  s=   99 a= 15(BUILD:Fish) r= -0.4077 cum=    +31.97 v= +6.5422 top5=[a38=0.231, a39=0.229, a36=0.046, a44=0.041, a12=0.038]
